epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1279.15,0.83388,1.11823,0.7751,1.1822,1,0.98497,0.995,0.76092,1,0.98497,0.995,0.72694,0.80141,1.35758,0.67557,1.45654,0.00128225,0.00128225,0.00128225
31,1326.45,0.82416,1.13835,0.73538,1.13981,0.74849,0.91611,0.90926,0.64219,0.79484,0.92308,0.91435,0.69276,0.91546,1.39923,1.01088,1.46373,0.0012575,0.0012575,0.0012575
32,1394.07,0.81006,1.08049,0.76183,1.15635,0.79608,0.90197,0.91857,0.59103,0.86324,0.97232,0.95797,0.69087,1.07808,1.46239,1.0288,1.57303,0.00123275,0.00123275,0.00123275
33,1415.86,0.92043,1.14713,0.82743,1.2356,0.91938,1,0.96786,0.64625,0.91938,1,0.96786,0.76621,1.02057,1.36303,0.9056,1.46676,0.001208,0.001208,0.001208
34,1479.5,0.90887,1.12725,0.83078,1.23113,0.98302,1,0.995,0.79061,0.98302,1,0.995,0.7916,0.88263,1.34946,0.73089,1.34928,0.00118325,0.00118325,0.00118325
35,1534.66,0.89575,1.18103,0.82825,1.23833,0.99139,1,0.995,0.76557,0.99139,1,0.995,0.68437,0.91396,1.34755,0.6803,1.46843,0.0011585,0.0011585,0.0011585
36,1608.66,0.89836,1.14933,0.83575,1.16618,0.98932,1,0.995,0.75191,0.98932,1,0.995,0.68058,0.92987,1.27062,0.6354,1.55373,0.00113375,0.00113375,0.00113375
37,1834.45,0.78818,1.12842,0.77052,1.13971,0.99244,1,0.995,0.77403,0.99244,1,0.995,0.74454,0.76649,1.25509,0.52381,1.43916,0.001109,0.001109,0.001109
38,2029.3,0.81973,1.13491,0.76871,1.16904,0.98973,1,0.995,0.83,0.98973,1,0.995,0.69641,0.7466,1.37295,0.48794,1.40289,0.00108425,0.00108425,0.00108425
39,2265.45,0.79355,1.13946,0.73702,1.18,0.98271,1,0.995,0.71994,0.98271,1,0.995,0.63835,0.88873,1.34377,0.64206,1.36787,0.0010595,0.0010595,0.0010595
40,2402.78,0.80976,0.97508,0.69662,1.13131,0.92121,1,0.97857,0.51263,0.92121,1,0.99,0.61948,1.35523,1.32843,0.92617,1.72505,0.00103475,0.00103475,0.00103475
41,2484.17,0.78522,1.16956,0.71871,1.15603,0.98768,1,0.995,0.84441,0.98768,1,0.995,0.71237,0.59753,1.37263,0.54044,1.17017,0.00101,0.00101,0.00101
42,2579.96,0.76404,1.0806,0.69186,1.15424,0.97373,1,0.995,0.84188,0.97373,1,0.995,0.74828,0.66984,1.30032,0.48879,1.23713,0.00098525,0.00098525,0.00098525
43,2608.84,0.71678,1.21272,0.69846,1.10139,1,0.97518,0.995,0.79002,1,0.97518,0.995,0.76277,0.75362,1.34468,0.59993,1.31609,0.0009605,0.0009605,0.0009605
44,2682.94,0.73036,1.3351,0.72426,1.1013,0.92628,1,0.995,0.76849,0.92628,1,0.995,0.75448,0.80014,1.52857,0.63581,1.3836,0.00093575,0.00093575,0.00093575
45,2903.74,0.70772,1.1316,0.72115,1.10622,0.9285,0.99903,0.99,0.75741,0.9285,0.99903,0.99,0.73474,0.83883,1.49273,0.62572,1.49619,0.000911,0.000911,0.000911
